"AffinityLevel_1","total_sessions","bounce_rate"
"Banking & Finance",3204,0.265
"Beauty & Wellness",272,0.2169
"Food & Dining",7799,0.266174035132709
"Home & Garden",2343,0.27313866837388
"Lifestyles & Hobbies",15020,0.273173482023968
"Media & Entertainment",13597,0.279704184746635
"News & Politics",9569,0.262300700177657
"Shoppers",4080,0.252669901960784
"Sports & Fitness",6157,0.279364511937632
"Technology",2262,0.286893633952255
"Travel",5862,0.278242562265438
"Vehicles & Transportation",637,0.306098430141287
