"Page","Avg.PageLoadTime(sec)","Pageviews","BounceRate","%Exit","PageValue"
"/2017/06/21/welcome/",1.46,12762,0.3414,0.2577,0
"/",2.24,12242,0.2417,0.1942,0
"/2017/06/22/power/",1.52,6678,0.1801,0.0344,0
"/2017/06/22/say/",1.32,6186,0.7048,0.0483,0
"/2017/06/22/finishing/",1.54,5886,0.625,0.5318,0
"/2017/06/22/setup/",0.96,5820,0.2727,0.0151,0
"/2017/06/22/usable/",1.45,5239,0.3793,0.0223,0
"/2017/06/22/ending/",0.8,5060,0.2667,0.0083,0
"/2017/08/31/special/",1.11,638,0.1667,0.0251,0
"/2017/08/12/flash/",0.64,633,0.9032,0.1896,0
